price,taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
700.85,324.85,MAD,AUH,2024/02/28 14:00,2024/02/28 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
684.13,325.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
1725.79,428.78999999999996,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
1716.79,428.78999999999996,JFK,MAD,2024/02/18 19:30,2024/02/19 08:45,UX3392,MAD,AUH,2024/02/19 14:00,2024/02/19 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
375.38,70.38,CPH,AMS,2024/02/18 14:10,2024/02/18 15:35,UX3757,AMS,MAD,2024/02/19 07:40,2024/02/19 10:15,UX3766,MAD,AMS,2024/04/16 13:00,2024/04/16 15:40,UX3765,AMS,CPH,2024/04/16 21:10,2024/04/16 22:30,UX3774
304.38,70.38,CPH,AMS,2024/02/13 14:10,2024/02/13 15:35,UX3757,AMS,MAD,2024/02/14 07:40,2024/02/14 10:15,UX3766,MAD,AMS,2024/04/16 20:25,2024/04/16 23:00,UX3769,AMS,CPH,2024/04/17 16:50,2024/04/17 18:10,UX3771
520.84,28.839999999999996,MAD,TFN,2024/02/13 11:40,2024/02/13 13:35,UX9118,TFN,FUE,2024/02/13 15:20,2024/02/13 16:10,UX2139,FUE,LPA,2024/04/16 08:10,2024/04/16 08:50,UX2120,LPA,MAD,2024/04/16 10:00,2024/04/16 13:45,UX9161
683.85,324.85,MAD,AUH,2024/03/18 14:00,2024/03/18 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
684.13,325.13,MAD,AUH,2024/03/02 14:00,2024/03/02 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
684.13,325.13,MAD,AUH,2024/02/02 14:00,2024/02/02 23:40,UX2703,,,,,,AUH,MAD,2024/02/16 07:30,2024/02/16 12:30,UX2702,,,,,
